Date,SPX.Shiller,SPX.ERN,Dividend,EPS.Shiller,EPS.ERN,CPI.Shiller,CPI.ERN,CAPE.Shiller,CAPE.ERN.1,CAPE.ERN.2,PE.12.trl
1871-01-31,4.44,4.439,0.26,0.4,0.4,12.464,12.464,,,,11.097
1871-02-28,4.5,4.501,0.26,0.4,0.4,12.845,12.845,,10.919,,11.253
1871-03-31,4.61,4.613,0.26,0.4,0.4,13.035,13.035,,11.193,10.999,11.532
1871-04-30,4.74,4.75,0.26,0.4,0.4,12.559,12.559,,12.08,11.947,11.874
1871-05-31,4.86,4.862,0.26,0.4,0.4,12.274,12.274,,12.598,12.642,12.154
1871-06-30,4.82,4.824,0.26,0.4,0.4,12.083,12.083,,12.606,12.69,12.061
1871-07-31,4.73,4.737,0.26,0.4,0.4,12.083,12.083,,12.286,12.372,11.843
1871-08-31,4.79,4.787,0.26,0.4,0.4,11.893,11.893,,12.547,12.608,11.968
1871-09-30,4.84,4.837,0.26,0.4,0.4,12.179,12.179,,12.305,12.375,12.092
1871-10-31,4.59,4.588,0.26,0.4,0.4,12.369,12.369,,11.471,11.487,11.47
1871-11-30,4.64,4.638,0.26,0.4,0.4,12.369,12.369,,11.595,11.59,11.595
1871-12-31,4.74,4.75,0.26,0.4,0.4,12.654,12.654,,11.607,11.603,11.874
1872-01-31,4.86,4.862,0.263,0.402,0.402,12.654,12.654,,11.903,11.877,12.079
1872-02-29,4.88,4.887,0.267,0.405,0.405,12.654,12.654,,11.977,11.961,12.066
1872-03-31,5.04,5.036,0.27,0.408,0.408,12.845,12.845,,12.166,12.158,12.358
1872-04-30,5.18,5.185,0.273,0.41,0.41,13.13,13.13,,12.267,12.253,12.646
1872-05-31,5.18,5.185,0.277,0.412,0.412,13.13,13.13,,12.29,12.266,12.57
1872-06-30,5.13,5.135,0.28,0.415,0.415,13.035,13.035,,12.277,12.259,12.374
1872-07-31,5.1,5.098,0.283,0.418,0.418,12.845,12.845,,12.374,12.367,12.211
1872-08-31,5.04,5.036,0.287,0.42,0.42,12.94,12.94,,12.125,12.131,11.99
1872-09-30,4.95,4.961,0.29,0.422,0.422,13.035,13.035,,11.851,11.855,11.742
1872-10-31,4.97,4.974,0.293,0.425,0.425,12.749,12.749,,12.142,12.144,11.703
1872-11-30,4.95,4.961,0.297,0.428,0.428,13.13,13.13,,11.74,11.758,11.605
1872-12-31,5.07,5.073,0.3,0.43,0.43,12.94,12.94,,12.175,12.179,11.798
1873-01-31,5.11,5.11,0.302,0.432,0.432,12.94,12.94,,12.249,12.263,11.816
1873-02-28,5.15,5.16,0.305,0.435,0.435,13.225,13.225,,12.083,12.099,11.862
1873-03-31,5.11,5.11,0.308,0.438,0.438,13.225,13.225,,11.958,11.964,11.681
1873-04-30,5.04,5.036,0.31,0.44,0.44,13.225,13.225,,11.773,11.781,11.445
1873-05-31,5.05,5.048,0.312,0.442,0.442,12.94,12.94,,12.05,12.059,11.408
1873-06-30,4.98,4.986,0.315,0.445,0.445,12.559,12.559,,12.239,12.259,11.204
1873-07-31,4.97,4.974,0.318,0.448,0.448,12.559,12.559,,12.171,12.204,11.114
1873-08-31,4.97,4.974,0.32,0.45,0.45,12.559,12.559,,12.134,12.166,11.052
1873-09-30,4.59,4.588,0.322,0.452,0.452,12.559,12.559,,11.159,11.187,10.139
1873-10-31,4.19,4.19,0.325,0.455,0.455,12.274,12.274,,10.397,10.42,9.209
1873-11-30,4.04,4.041,0.328,0.458,0.458,11.893,11.893,,10.308,10.338,8.833
1873-12-31,4.42,4.426,0.33,0.46,0.46,12.179,12.179,,10.974,11.019,9.623
1874-01-31,4.66,4.663,0.33,0.46,0.46,12.369,12.369,,11.338,11.376,10.136
1874-02-28,4.8,4.8,0.33,0.46,0.46,12.369,12.369,,11.633,11.665,10.434
1874-03-31,4.73,4.737,0.33,0.46,0.46,12.369,12.369,,11.448,11.477,10.299
1874-04-30,4.6,4.601,0.33,0.46,0.46,12.179,12.179,,11.259,11.284,10.001
1874-05-31,4.48,4.489,0.33,0.46,0.46,12.083,12.083,,11.037,11.064,9.758
1874-06-30,4.46,4.464,0.33,0.46,0.46,11.798,11.798,,11.206,11.233,9.704
1874-07-31,4.46,4.464,0.33,0.46,0.46,11.893,11.893,,11.075,11.108,9.704
1874-08-31,4.47,4.476,0.33,0.46,0.46,11.798,11.798,,11.159,11.187,9.731
1874-09-30,4.54,4.551,0.33,0.46,0.46,11.798,11.798,,11.307,11.337,9.893
1874-10-31,4.53,4.538,0.33,0.46,0.46,11.608,11.608,,11.425,11.453,9.866
1874-11-30,4.57,4.563,0.33,0.46,0.46,11.513,11.513,,11.543,11.574,9.92
1874-12-31,4.54,4.551,0.33,0.46,0.46,11.513,11.513,,11.471,11.502,9.893
1875-01-31,4.54,4.551,0.328,0.452,0.452,11.513,11.513,,11.433,11.464,10.075
1875-02-28,4.53,4.538,0.325,0.443,0.443,11.513,11.513,,11.371,11.396,10.238
1875-03-31,4.59,4.588,0.322,0.435,0.435,11.513,11.513,,11.47,11.49,10.547
1875-04-30,4.65,4.65,0.32,0.427,0.427,11.608,11.608,,11.51,11.526,10.898
1875-05-31,4.47,4.476,0.318,0.418,0.418,11.322,11.322,,11.346,11.355,10.701
1875-06-30,4.38,4.377,0.315,0.41,0.41,11.132,11.132,,11.271,11.281,10.675
1875-07-31,4.39,4.389,0.312,0.402,0.402,11.132,11.132,,11.292,11.301,10.927
1875-08-31,4.41,4.414,0.31,0.393,0.393,11.227,11.227,,11.253,11.258,11.223
1875-09-30,4.37,4.364,0.308,0.385,0.385,11.132,11.132,,11.22,11.22,11.336
1875-10-31,4.3,4.302,0.305,0.377,0.377,11.132,11.132,,11.062,11.061,11.421
1875-11-30,4.37,4.364,0.302,0.368,0.368,11.037,11.037,,11.325,11.321,11.85
1875-12-31,4.37,4.364,0.3,0.36,0.36,10.942,10.942,,11.432,11.426,12.123
1876-01-31,4.46,4.464,0.3,0.353,0.353,10.847,10.847,,11.807,11.799,12.635
1876-02-29,4.52,4.526,0.3,0.347,0.347,10.847,10.847,,11.984,11.977,13.055
1876-03-31,4.51,4.514,0.3,0.34,0.34,10.847,10.847,,11.967,11.957,13.275
1876-04-30,4.34,4.34,0.3,0.333,0.333,10.751,10.751,,11.625,11.614,13.02
1876-05-31,4.18,4.178,0.3,0.327,0.327,10.371,10.371,,11.622,11.611,12.788
1876-06-30,4.15,4.153,0.3,0.32,0.32,10.085,10.085,,11.897,11.89,12.978
1876-07-31,4.1,4.103,0.3,0.313,0.313,10.085,10.085,,11.769,11.765,13.097
1876-08-31,3.93,3.929,0.3,0.307,0.307,10.181,10.181,,11.181,11.175,12.811
1876-09-30,3.69,3.693,0.3,0.3,0.3,10.276,10.276,,10.431,10.423,12.31
1876-10-31,3.67,3.668,0.3,0.293,0.293,10.466,10.466,,10.195,10.185,12.506
1876-11-30,3.6,3.606,0.3,0.287,0.287,10.561,10.561,,9.959,9.945,12.577
1876-12-31,3.58,3.581,0.3,0.28,0.28,10.751,10.751,,9.743,9.728,12.789
1877-01-31,3.55,3.556,0.291,0.282,0.282,10.942,10.942,,9.539,9.518,12.624
1877-02-28,3.34,3.345,0.282,0.283,0.283,10.656,10.656,,9.243,9.22,11.807
1877-03-31,3.17,3.171,0.272,0.285,0.285,10.181,10.181,,9.199,9.176,11.125
1877-04-30,2.94,2.947,0.263,0.287,0.287,10.466,10.466,,8.336,8.317,10.279
1877-05-31,2.94,2.947,0.254,0.288,0.288,10.656,10.656,,8.207,8.184,10.222
1877-06-30,2.73,2.736,0.245,0.29,0.29,10.085,10.085,,8.07,8.044,9.433
1877-07-31,2.85,2.847,0.236,0.292,0.292,10.181,10.181,,8.337,8.313,9.761
1877-08-31,3.05,3.046,0.227,0.293,0.293,9.8,9.8,,9.283,9.255,10.386
1877-09-30,3.24,3.233,0.218,0.295,0.295,9.705,9.705,,9.961,9.934,10.959
1877-10-31,3.31,3.307,0.208,0.297,0.297,9.705,9.705,,10.203,10.174,11.147
1877-11-30,3.26,3.258,0.199,0.298,0.298,9.515,9.515,,10.261,10.23,10.921
1877-12-31,3.25,3.245,0.19,0.3,0.3,9.515,9.515,,10.229,10.198,10.818
1878-01-31,3.25,3.245,0.189,0.301,0.301,9.229,9.229,,10.553,10.521,10.789
1878-02-28,3.18,3.183,0.188,0.302,0.302,9.134,9.134,,10.461,10.433,10.551
1878-03-31,3.24,3.233,0.188,0.302,0.302,8.944,8.944,,10.851,10.824,10.687
1878-04-30,3.33,3.332,0.187,0.303,0.303,8.849,8.849,,11.304,11.279,10.987
1878-05-31,3.34,3.345,0.186,0.304,0.304,8.563,8.563,,11.72,11.696,10.995
1878-06-30,3.41,3.419,0.185,0.305,0.305,8.373,8.373,,12.245,12.225,11.211
1878-07-31,3.48,3.482,0.184,0.306,0.306,8.468,8.468,,12.315,12.298,11.385
1878-08-31,3.45,3.444,0.183,0.307,0.307,8.563,8.563,,12.037,12.018,11.23
1878-09-30,3.52,3.519,0.182,0.308,0.308,8.563,8.563,,12.288,12.268,11.443
1878-10-31,3.48,3.482,0.182,0.308,0.308,8.468,8.468,,12.284,12.264,11.293
1878-11-30,3.47,3.469,0.181,0.309,0.309,8.373,8.373,,12.368,12.348,11.22
1878-12-31,3.45,3.444,0.18,0.31,0.31,8.183,8.183,,12.551,12.533,11.11
1879-01-31,3.58,3.581,0.182,0.316,0.316,8.278,8.278,,12.882,12.867,11.339
1879-02-28,3.71,3.705,0.183,0.322,0.322,8.373,8.373,,13.16,13.145,11.518
1879-03-31,3.65,3.656,0.185,0.328,0.328,8.278,8.278,,13.113,13.098,11.162
1879-04-30,3.77,3.768,0.187,0.333,0.333,8.183,8.183,,13.648,13.636,11.304
1879-05-31,3.94,3.942,0.188,0.339,0.339,8.183,8.183,,14.249,14.242,11.62
1879-06-30,3.96,3.979,0.19,0.345,0.345,8.087,8.087,,14.52,14.515,11.533
1879-07-31,4.04,4.041,0.192,0.351,0.351,8.183,8.183,,14.539,14.537,11.52
1879-08-31,4.07,4.078,0.193,0.357,0.357,8.183,8.183,,14.636,14.634,11.434
1879-09-30,4.22,4.228,0.195,0.362,0.362,8.468,8.468,,14.621,14.621,11.662
1879-10-31,4.68,4.688,0.197,0.368,0.368,8.944,8.944,,15.312,15.313,12.728
1879-11-30,4.93,4.936,0.198,0.374,0.374,9.419,9.419,,15.281,15.275,13.192
1879-12-31,4.92,4.924,0.2,0.38,0.38,9.705,9.705,,14.772,14.76,12.958
1880-01-31,5.11,5.11,0.205,0.389,0.389,9.99,9.99,,14.874,14.86,13.131
1880-02-29,5.2,5.21,0.21,0.398,0.398,9.99,9.99,,15.146,15.129,13.08
1880-03-31,5.3,5.297,0.215,0.408,0.408,10.085,10.085,,15.231,15.218,12.999
1880-04-30,5.18,5.185,0.22,0.417,0.417,9.705,9.705,,15.47,15.457,12.443
1880-05-31,4.77,4.775,0.225,0.426,0.426,9.419,9.419,,14.646,14.637,11.213
1880-06-30,4.79,4.787,0.23,0.435,0.435,9.229,9.229,,14.946,14.945,11.005
1880-07-31,5.01,5.011,0.235,0.444,0.444,9.229,9.229,,15.596,15.603,11.281
1880-08-31,5.19,5.197,0.24,0.453,0.453,9.229,9.229,,16.123,16.134,11.466
1880-09-30,5.18,5.185,0.245,0.462,0.462,9.324,9.324,,15.865,15.877,11.211
1880-10-31,5.33,5.334,0.25,0.472,0.472,9.324,9.324,,16.264,16.278,11.308
1880-11-30,5.61,5.62,0.255,0.481,0.481,9.419,9.419,,16.9,16.919,11.689
1880-12-31,5.84,5.844,0.26,0.49,0.49,9.515,9.515,,17.332,17.354,11.927
1881-01-31,6.19,6.192,0.265,0.486,0.486,9.419,9.419,18.474,18.48,18.51,12.746
1881-02-28,6.17,6.167,0.27,0.482,0.482,9.515,9.515,18.147,18.139,18.171,12.803
1881-03-31,6.24,6.242,0.275,0.478,0.478,9.515,9.515,18.27,18.276,18.306,13.072
